State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,,ALE,Unhealthy_Days,LBW,VLBW,Premature,Under_18,Over_40,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Hisp,IM_Neonatal,IM_Postneonatal,CHD,Stroke,Total_Births,Total_Deaths,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,FluB_Rpt,HepA_Rpt,HepB_Rpt,Meas_Rpt,Pert_Rpt,CRS_Rpt,Syphilis_Rpt,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,,LCD_Time_Span,D_Wh_HeartDis,D_Bl_HeartDis,D_Ot_HeartDis,D_Hi_HeartDis,E_Wh_HeartDis,E_Bl_HeartDis,E_Ot_HeartDis,E_Hi_HeartDis,F_Wh_HeartDis,F_Bl_HeartDis,F_Ot_HeartDis,F_Hi_HeartDis
1,1,Autauga,Alabama,AL,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,,74.9,7.5,8.1,1.6,14.3,5.1,1.4,28,12.9,5.9,4.2,13,-1111.1,3,3,172.4,73.9,3048,1867,6690,774,1727,2680,2394,2,50,4,2883197,1,1,1,1,1,1,0,1,2,0,3,0,8,-1111.1,-1111.1,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,1,2,,1999-2003,22,12,-1111,-1111,23,30,-1111,-1111,32,38,-1111,-1111
1,3,Baldwin,Alabama,AL,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,,76.6,6.7,8.6,1.9,15.3,4.3,1.9,25.4,15.3,7.1,5.7,13.5,-1111.1,5.7,1.5,156.5,48.7,5471,4388,20254,2533,4933,9354,7753,2,99,41,35664,1,1,1,2,1,1,0,2,17,0,0,0,0,58.7,61.8,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,1,2,,2001-2003,16,18,-1111,-1111,22,33,-1111,-1111,30,32,-1111,-1111
1,15,Calhoun,Alabama,AL,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,,73.1,8,9,1.9,14.1,4.8,0.8,26.3,12.1,9.5,7.2,17.3,-1111.1,6.1,3.4,189.3,79.2,4429,3915,19546,2182,5722,6400,5545,0,31,33,808521,1,1,1,1,1,1,1,2,7,0,0,0,7,57.3,56.2,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,1,2,,2001-2003,15,24,-1111,-1111,28,37,-1111,-1111,34,30,-1111,-1111
1,21,Chilton,Alabama,AL,41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,,74.1,9.7,9.1,1.7,14.6,5.7,0.9,22.9,22.2,10.5,10.6,16.6,-1111.1,7.9,2.6,188.1,70.3,2671,2065,9484,685,1887,2355,2009,0,13,0,20846,1,1,1,1,1,1,0,5,0,0,1,0,3,-1111.1,-1111.1,30.3,82.8,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,1,2,,1999-2003,23,11,-1111,-1111,28,30,-1111,-1111,34,31,-1111,-1111
1,31,Coffee,Alabama,AL,45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,,75.9,7.1,8.9,1.2,14.8,5.4,1.1,26.9,17.1,2.9,1,6.7,-1111.1,1.4,1.4,191.7,60.7,2762,2210,8316,694,1940,2590,2179,1,85,81,1002559,1,1,1,1,1,1,0,1,0,0,5,0,2,-1111.1,-1111.1,23.3,-1111.1,25.5,31.3,23,10.3,6764,6099,1366,48.3,39.5,1,2,,1999-2003,13,20,-1111,-1111,30,29,-1111,-1111,35,31,-1111,-1111
1,43,Cullman,Alabama,AL,79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,,75.3,8.2,8.8,1.2,14.5,4.6,1.2,20.7,11,6.9,7,-1111.1,-1111.1,5.1,1.8,203.6,71.1,4897,4405,16275,1367,3993,4572,3803,0,60,15,1565840,1,1,1,1,1,1,3,5,3,0,2,0,0,-1111.1,-1111.1,29.4,76.2,22.2,35,27.6,10,11912,11129,2400,53.8,22.5,1,2,,1999-2003,20,-1111,-1111,-1111,32,-1111,-1111,-1111,34,36,-1111,-1111
1,49,DeKalb,Alabama,AL,67271,86,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8,,75.1,7.2,9.1,1.4,15.8,5.5,0.9,26.6,22,7.7,7.6,-1111.1,8.9,3.9,3.9,171.9,58.6,4665,3326,16525,1414,2949,3790,3150,2,21,12,217675,1,1,1,1,1,1,1,4,1,0,0,0,1,-1111.1,-1111.1,37,80.7,24.3,35.3,19.1,7.8,12260,8411,2351,34.2,19.3,1,2,,1999-2003,20,-1111,-1111,-1111,31,-1111,-1111,-1111,39,49,-1111,-1111
1,51,Elmore,Alabama,AL,73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,,75.2,5.8,8.6,1.7,14.2,4.8,1.5,31,13.3,7.6,4.9,16.3,-1111.1,4.7,3,138.8,60.4,4707,2823,10979,1091,2028,4170,3646,3,70,15,74339,1,1,1,1,1,1,1,5,0,0,3,0,8,-1111.1,-1111.1,27.7,85,24.8,23,22.6,5.5,8320,7792,2167,33.8,16.2,1,2,,1999-2003,14,12,-1111,-1111,26,33,-1111,-1111,32,31,-1111,-1111
1,55,Etowah,Alabama,AL,103189,193,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,,73.5,8,8.5,1.3,13.6,5.9,1,30.2,19.1,8.7,7.3,10.5,-1111.1,4.5,4.2,188.6,63.5,3810,4020,18341,1982,4505,5897,4895,0,35,8,1619985,1,1,1,1,1,1,3,4,12,0,0,0,26,61.7,57.6,34.1,81.4,27.1,38.2,31.5,10.2,16180,15265,4508,72.7,42.6,1,2,,2001-2003,23,21,-1111,-1111,34,37,-1111,-1111,32,28,-1111,-1111
1,69,Houston,Alabama,AL,94249,162,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6,,75.7,6.9,8.6,2.1,13.1,5.2,1.1,36.9,18.1,8,6.9,10.4,-1111.1,5.1,2.9,152.8,55.8,6497,4329,14840,1547,3259,5260,4426,6,162,44,166337,1,1,1,1,1,1,1,2,8,0,9,0,7,-1111.1,-1111.1,32.9,77.7,29.5,34,25,8.8,14235,9901,2416,106.1,47.7,1,2,,1999-2003,16,21,-1111,-1111,24,18,-1111,-1111,31,30,-1111,-1111
1,71,Jackson,Alabama,AL,53650,50,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6,,74.5,7.4,9.3,1.6,14.4,4.5,0.6,27.6,13.6,6.4,6.5,-1111.1,-1111.1,4.6,1.8,187.2,63.8,3279,2871,12355,1219,2452,3076,2497,1,18,1,6565659,1,1,1,1,1,1,3,7,0,0,2,0,1,-1111.1,-1111.1,34,82.3,29.4,29.2,37,6.1,7294,7744,1978,70.8,29.8,1,2,,1999-2003,22,-1111,-1111,-1111,29,28,-1111,-1111,37,27,-1111,-1111
1,73,Jefferson,Alabama,AL,657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,,73.6,6.3,10.8,2.4,16,4.7,2,40.2,18.1,11.3,6.4,16.6,8,7.6,3.7,145.6,80.7,27118,21937,83737,12866,25084,36995,31672,12,231,169,13881314,2,1,1,2,1,1,15,25,91,0,19,0,43,63.1,65.9,29,79.1,27.1,31.9,23.4,9.7,87428,89884,21625,154.9,71.5,1,2,,2001-2003,14,16,-1111,-1111,22,23,-1111,-1111,28,27,-1111,-1111
